updated,A5,A4,A3,A2,A1,A0
28/09/2021 23:52:59,0.000,3.508,5.343,0.000,0.000,0.323
28/09/2021 23:52:54,0.000,3.508,5.343,0.000,0.000,0.391
28/09/2021 23:52:49,0.000,3.508,5.392,0.000,0.000,0.391
28/09/2021 23:52:44,0.000,3.508,5.404,0.000,0.000,0.420
28/09/2021 23:52:39,0.000,3.496,5.392,0.000,0.000,0.386
28/09/2021 23:52:34,0.000,3.496,5.379,0.000,0.000,0.323
28/09/2021 23:52:29,0.000,3.508,5.379,0.000,0.000,0.371
28/09/2021 23:52:24,0.000,3.508,5.404,0.000,0.000,0.411
28/09/2021 23:52:19,0.000,3.496,5.416,0.000,0.000,0.391
28/09/2021 23:52:14,0.000,3.496,5.428,0.000,0.000,0.401
28/09/2021 23:52:09,0.000,3.472,5.450,0.000,0.000,0.352
28/09/2021 23:52:04,0.000,3.496,5.450,0.000,0.000,0.391
28/09/2021 23:51:59,0.000,3.484,5.450,0.000,0.000,0.411
28/09/2021 23:51:54,0.000,3.496,5.438,0.000,0.000,0.327
28/09/2021 23:51:49,0.000,3.496,5.428,0.000,0.000,0.342
28/09/2021 23:51:44,0.000,3.484,5.416,0.000,0.000,0.420
28/09/2021 23:51:39,0.000,3.484,5.416,0.000,0.000,0.391
28/09/2021 23:51:34,0.000,3.472,5.450,0.000,0.000,0.381
28/09/2021 23:51:29,0.000,3.484,5.428,0.000,0.000,0.396
28/09/2021 23:51:24,0.000,3.484,5.438,0.000,0.000,0.386
28/09/2021 23:51:19,0.000,3.484,5.438,0.000,0.000,0.420
28/09/2021 23:51:14,0.000,3.484,5.438,0.000,0.000,0.396
28/09/2021 23:51:09,0.000,3.496,5.438,0.000,0.000,0.391
28/09/2021 23:51:04,0.000,3.496,5.438,0.000,0.000,0.406
28/09/2021 23:50:59,0.000,3.496,5.416,0.000,0.000,0.420
28/09/2021 23:50:54,0.000,3.484,5.416,0.000,0.000,0.425
28/09/2021 23:50:49,0.000,3.508,5.428,0.000,0.000,0.435
28/09/2021 23:50:44,0.000,3.508,5.428,0.000,0.000,0.430
28/09/2021 23:50:39,0.000,3.508,5.450,0.000,0.000,0.430
28/09/2021 23:50:34,0.000,3.496,5.428,0.000,0.000,0.411
28/09/2021 23:50:29,0.000,3.508,5.438,0.000,0.000,0.430
28/09/2021 23:50:24,0.000,3.496,5.416,0.000,0.000,0.371
28/09/2021 23:50:19,0.000,3.496,5.416,0.000,0.000,0.420
28/09/2021 23:50:14,0.000,3.472,5.428,0.000,0.000,0.396
28/09/2021 23:50:09,0.000,3.496,5.462,0.000,0.000,0.411
28/09/2021 23:50:04,0.000,3.472,5.438,0.000,0.000,0.396
28/09/2021 23:49:59,0.000,3.484,5.462,0.000,0.000,0.391
28/09/2021 23:49:54,0.000,3.484,5.486,0.000,0.000,0.401
28/09/2021 23:49:49,0.000,3.484,5.486,0.000,0.000,0.352
28/09/2021 23:49:44,0.000,3.484,5.462,0.000,0.000,0.391
28/09/2021 23:49:39,0.000,3.472,5.474,0.000,0.000,0.376
28/09/2021 23:49:34,0.000,3.447,5.498,0.000,0.000,0.430
28/09/2021 23:49:29,0.000,3.447,5.498,0.000,0.000,0.323
28/09/2021 23:49:24,0.000,3.447,5.510,0.000,0.000,0.376
28/09/2021 23:49:19,0.000,3.484,5.498,0.000,0.000,0.396
